first_name,last_name,age,latitude,longitude,sourced_2024,sourced_2025,gender,fund
Flavie,Hilll,76,2.339181,37.741491,FALSE,TRUE,male,FUND3
Prince,Hodkiewicz-Robel,53,0.236598,37.487051,FALSE,TRUE,male,FUND1
Angie,Lemke,54,0.206294,37.753006,TRUE,TRUE,male,FUND2
Corine,Kautzer,75,0.162664,38.188437,TRUE,FALSE,female,FUND3
Alicia,Collier,24,0.446697,37.049837,TRUE,TRUE,female,FUND2
Berry,Rolfson,20,2.326513,37.028092,TRUE,TRUE,male,FUND3
Joannie,Hoppe-Feest,21,2.967754,38.397925,TRUE,FALSE,male,FUND2
Ciara,Jacobs,72,0.133009,37.894149,TRUE,TRUE,male,FUND1
Kay,Gusikowski,46,-0.854393,36.825129,FALSE,FALSE,female,FUND3
Agustina,Collier,33,2.135374,36.194727,TRUE,TRUE,female,FUND2
Krystel,Hills,38,1.450662,37.661703,TRUE,FALSE,female,FUND2
Kim,Kling,39,0.069171,38.392267,TRUE,TRUE,male,FUND1
Kaelyn,Conroy,31,2.090803,38.06939,TRUE,TRUE,female,FUND3
Adrain,Hills,78,0.421068,37.408346,TRUE,TRUE,female,FUND1
Anika,Fahey-Pfeffer,50,0.238432,36.998604,FALSE,TRUE,female,FUND3
Phoebe,Emmerich,23,-1.41379,37.582202,FALSE,TRUE,female,FUND2
Rod,Hilll,27,-0.234102,36.221192,FALSE,TRUE,female,FUND2
Josephine,Kihn,80,-1.090858,37.013685,FALSE,TRUE,male,FUND3
Kristina,Gottlieb,30,-0.360583,36.426968,TRUE,TRUE,female,FUND2
Kaylee,Doyle,78,0.483951,38.11213,FALSE,TRUE,male,FUND1
Reuben,Bosco,27,0.715906,37.731197,TRUE,FALSE,male,FUND1
Jerrod,Hane,66,2.286154,36.861934,TRUE,FALSE,male,FUND1
Madison,Stoltenberg,25,-0.330213,38.026916,FALSE,FALSE,female,FUND3
Miles,Hane,58,2.534506,37.22098,FALSE,TRUE,male,FUND2
Sabina,Lowe,26,-1.126253,37.365393,TRUE,FALSE,female,FUND1
Arvel,Green,52,-0.357414,37.045114,FALSE,FALSE,female,FUND3
Kamron,Feeney,56,2.590369,37.840542,TRUE,TRUE,female,FUND3
Carlie,Barrows,27,0.414109,37.352043,TRUE,TRUE,female,FUND1
Shakira,Larkin,77,1.115802,38.143918,FALSE,TRUE,male,FUND3
Sabrina,Upton,51,1.909131,37.402715,TRUE,FALSE,female,FUND2
Lacey,Barrows,74,1.575908,37.226894,FALSE,TRUE,female,FUND3
Major,Hegmann,62,0.705926,37.73448,FALSE,TRUE,male,FUND3
Lilly,Bauch,71,0.250943,37.655387,FALSE,TRUE,male,FUND1
Price,Turner,22,1.178933,36.745834,FALSE,FALSE,female,FUND1
Granville,Harris,36,0.850487,37.698475,TRUE,FALSE,male,FUND1
Jeramie,Murazik,42,1.968725,37.773709,FALSE,TRUE,female,FUND2
Floy,Mills,45,-0.444222,37.196249,FALSE,FALSE,female,FUND1
Queen,Baumbach,59,-1.279656,37.105929,FALSE,FALSE,male,FUND2
Fred,Purdy,32,-0.281902,37.729201,TRUE,FALSE,female,FUND2
Reuben,Bashirian,46,-0.953566,36.555533,TRUE,TRUE,female,FUND1
Elroy,Rosenbaum,69,-0.485383,38.038007,TRUE,TRUE,female,FUND1
Edward,Gibson,55,2.052616,36.431489,TRUE,FALSE,female,FUND2
Georgianna,Mayer,24,-0.351811,36.841712,TRUE,FALSE,female,FUND3
Selina,Kulas,23,3.151953,36.724458,FALSE,FALSE,male,FUND2
Jaiden,Tremblay,51,-0.438465,36.260452,FALSE,TRUE,male,FUND3
Gustave,Purdy,30,0.92876,37.952699,FALSE,TRUE,male,FUND2
Gloria,Wiegand,48,1.60662,36.367855,TRUE,TRUE,female,FUND2
Noel,Rosenbaum,58,1.192827,36.548284,FALSE,FALSE,female,FUND2
Katheryn,Fay,74,1.844988,36.876789,FALSE,TRUE,male,FUND2
Ford,Emard,56,2.260703,38.175032,FALSE,FALSE,female,FUND2
Rosetta,Koss,21,0.135051,36.744289,FALSE,TRUE,male,FUND2
Ladarius,Ernser,24,2.172636,36.73393,TRUE,TRUE,female,FUND1
Lee,Heidenreich,42,0.787703,37.067758,TRUE,TRUE,female,FUND1
Francesca,Feil,22,1.533546,37.901484,FALSE,FALSE,male,FUND1
Joy,Cronin,66,-0.608437,36.248633,FALSE,TRUE,female,FUND2
April,Abernathy,70,0.37999,36.296151,FALSE,FALSE,female,FUND3
Sedrick,Fritsch,72,-0.084694,36.810709,FALSE,FALSE,female,FUND2
Kacey,Little,68,-0.448356,36.953997,FALSE,FALSE,female,FUND3
Lorenz,Bergstrom,73,0.087051,37.049348,FALSE,FALSE,male,FUND2
Abdiel,Jaskolski,52,-1.570535,36.461034,FALSE,TRUE,male,FUND1
Lavern,Lowe,31,-1.491272,37.597261,FALSE,TRUE,female,FUND1
Dale,Feeney,76,0.034349,37.136448,FALSE,FALSE,female,FUND1
Shanelle,Little,41,3.232444,37.09199,FALSE,FALSE,male,FUND1
Kaci,Corkery,60,1.728615,37.920128,FALSE,TRUE,female,FUND1
Carson,Wunsch,51,0.668116,36.907488,FALSE,FALSE,female,FUND3
Destin,Rau,59,0.580851,36.377566,FALSE,FALSE,female,FUND1
Eino,West,69,-0.30658,36.512783,FALSE,FALSE,male,FUND2
Craig,Kohler,45,-0.351007,37.294756,FALSE,TRUE,male,FUND2
Merritt,Baumbach,72,-1.132054,36.711643,TRUE,TRUE,male,FUND2
Edison,Veum,39,0.518194,37.096291,FALSE,FALSE,female,FUND3
Felipa,Beahan,55,2.354738,37.112254,FALSE,FALSE,male,FUND3
Carey,Kutch,46,-0.675373,36.346712,FALSE,TRUE,male,FUND1
Reyes,Wehner,41,2.48742,37.672461,FALSE,TRUE,female,FUND2
June,Herzog,26,-0.408703,37.810079,TRUE,TRUE,female,FUND2
Christophe,O'Conner,55,-0.740888,37.175103,FALSE,FALSE,female,FUND1
Conor,Emard,23,2.690281,37.030508,TRUE,FALSE,male,FUND3
Stephany,McGlynn,63,2.584333,36.655303,TRUE,FALSE,female,FUND3
Gaston,Wintheiser,41,-1.564063,38.366958,TRUE,FALSE,male,FUND1
Shad,Bartoletti,26,1.293062,36.677586,TRUE,TRUE,female,FUND1
Destini,Donnelly,20,-1.56567,37.251367,FALSE,FALSE,female,FUND2
Reva,Kautzer,29,-0.611086,36.333759,FALSE,FALSE,female,FUND3
Keven,Predovic,25,2.540719,36.565119,FALSE,FALSE,female,FUND2
Alessia,Rutherford,60,-1.14075,37.361225,TRUE,TRUE,female,FUND2
Ryder,Raynor,65,-1.204313,37.174493,TRUE,TRUE,female,FUND1
Tre,Rohan-Schowalter,25,1.163903,38.251929,TRUE,TRUE,female,FUND3
Sydnee,Dach,28,-1.343677,36.536069,TRUE,FALSE,male,FUND2
Fidel,Rogahn,68,-0.87807,37.462925,FALSE,TRUE,male,FUND2
Elena,Koss,42,1.116579,37.919598,FALSE,TRUE,male,FUND3
Golden,Dickinson,75,3.016803,37.608563,FALSE,FALSE,male,FUND1
